rank,product_a_id,product_a_title,product_a_sku,product_a_price,product_b_id,product_b_title,product_b_sku,product_b_price,frequency,combined_price
1,"MLA1513381865","Lápiz 3d Con Batería Filamentos Baja Temperatura Niños Kleur","KL-3DPEN-VT-XI",31349,"MLA2213688968","Filamento Para Lapiz 3d Pcl Baja Temperatura Pack X20 Kleur","KL-FIL-100M-XI",11900,482,43249
2,"MLA1513381865","Lápiz 3d Con Batería Filamentos Baja Temperatura Niños Kleur","KL-3DPEN-BL-XI",30689,"MLA2213649534","Filamento Para Lapiz 3d Pcl Baja Temperatura Pack X10 Kleur Surtidos","KL-FIL-50M-XI",9900,271,40589
3,"MLA1463837365","Scanner Escaner Automotriz Lectura Bluetooth Obd2 Obdii V2.1","OBDII-XI",3681,"MLA1948049548","Scanner Escaner Multimarca Bluetooth Obd2 Oe V1.5","BIG-OE327-XI",6445,51,10126
4,"MLA1391723040","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-SV-AN-AL-6-10-XI",3586,"MLA2007621364","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 D1-spec","D1-FWBLM6-10-XI",3586,46,7172
5,"MLA1391723040","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-PK-AN-AL-6-10-XI",3797,"MLA2007219190","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Hp Factory","HP-FWVTM6-10-XI",3797,46,7594
6,"MLA2072335180","Marcadores Punta De Alcohol 60u Estuche","LU-MARKER60-XI",11399,"MLA2072588392","Marcadores Doble Punta De Alcohol 48u Estuche","LU-MARKER48-XI",8549,45,19948
7,"MLA2007219190","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Hp Factory","HP-FWGRM6-10-XI",3797,"MLA2007621364","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 D1-spec","D1-FWBLM6-10-XI",3797,41,7594
8,"MLA2072335180","Marcadores Punta De Alcohol 60u Estuche","LU-MARKER60-XI",11999,"MLA2072626986","Marcadores Doble Punta De Alcohol 36u Estuche","LU-MARKER36-XI",8500,18,20499
9,"MLA2007219190","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Hp Factory","HP-FWRDM6-10-XI",3797,"MLA2007555334","Arandela Anodizada Aluminio Moto Auto 6mm M6 X8 Hp Factory","HP-FWBLM6-8-XI",3499,17,7296
10,"MLA2007555334","Arandela Anodizada Aluminio Moto Auto 6mm M6 X8 Hp Factory","HP-FWBLM6-8-XI",3499,"MLA2007621364","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 D1-spec","D1-FWVTM6-10-XI",3797,14,7296
11,"MLA2072588392","Marcadores Doble Punta De Alcohol 48u Estuche","LU-MARKER48-XI",8999,"MLA2072626986","Marcadores Doble Punta De Alcohol 36u Estuche","LU-MARKER36-XI",8500,13,17499
12,"MLA1993231148","Marcadores Doble Punta De Alcohol 60u  Estuche + Blender","KL-TOUCH-60-KIT-XI",17820,"MLA1993283258","Marcadores Doble Punta De Alcohol 80u  Estuche + Blender","KL-TOUCH-80-KIT-XI",23700,12,41520
13,"MLA1391723040","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-BK-AN-AL-6-10-XI",3898,"MLA2007555334","Arandela Anodizada Aluminio Moto Auto 6mm M6 X8 Hp Factory","HP-FWBLM6-8-XI",3463,12,7361
14,"MLA1993283258","Marcadores Doble Punta De Alcohol 80u Estuche Base + Blender","LU-MARKER80-WH-B-XI",19499,"MLA2072588392","Marcadores Doble Punta De Alcohol 48u Estuche","LU-MARKER48-XI",8999,11,28498
15,"MLA1432575309","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-GD-AN-AL-6-10-XI",3758,"MLA2007146596","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-BL-AN-AL-6-10-XI",3758,10,7517
