"buyer_id","buyer_nickname","total_orders","total_spent","first_purchase","last_purchase","unique_products","is_repeat_buyer"
"634972735","MARAINSCCCAMO","1","25900","2025-12-08T08:01:07.000-04:00","2025-12-08T08:01:07.000-04:00","1","NO"
"457011098","ORSO5892993","1","22900","2025-12-08T07:55:10.000-04:00","2025-12-08T07:55:10.000-04:00","1","NO"
"1128069734","ANACACERES20220521194700","1","26950","2025-12-08T07:43:58.000-04:00","2025-12-08T07:43:58.000-04:00","1","NO"
"147460660","VESI5091997","2","42299","2025-12-08T07:37:56.000-04:00","2025-12-08T07:37:56.000-04:00","2","YES"
"425423041","ANGELLETTIERI7","1","280000","2025-12-08T07:32:40.000-04:00","2025-12-08T07:32:40.000-04:00","1","NO"
"501735208","DANIELCAVELI","1","22000","2025-12-08T07:25:13.000-04:00","2025-12-08T07:25:13.000-04:00","1","NO"
"81726707","NOELIAY22","1","26500","2025-12-08T07:23:30.000-04:00","2025-12-08T07:23:30.000-04:00","1","NO"
"212725962","DEEV5453442","1","26950","2025-12-08T07:21:34.000-04:00","2025-12-08T07:21:34.000-04:00","1","NO"
"313941419","BRENDAMACARENACHEMIN","1","65900","2025-12-08T07:20:39.000-04:00","2025-12-08T07:20:39.000-04:00","1","NO"
"71706094","MEDINAESTEBAN28","1","155000","2025-12-08T07:19:47.000-04:00","2025-12-08T07:19:47.000-04:00","1","NO"
"1164761940","MAZZEOROMINA20220723192437","1","29000","2025-12-08T07:16:33.000-04:00","2025-12-08T07:16:33.000-04:00","1","NO"
"21273415","XIENZO","1","65900","2025-12-08T07:01:45.000-04:00","2025-12-08T07:01:45.000-04:00","1","NO"
"711206919","CIPA4424988","1","25900","2025-12-08T06:57:45.000-04:00","2025-12-08T06:57:45.000-04:00","1","NO"
"444103435","BASALDUAIRENE","1","39600","2025-12-08T06:45:05.000-04:00","2025-12-08T06:45:05.000-04:00","1","NO"
"186151681","CARLOSGUDIN","1","14900","2025-12-08T06:33:01.000-04:00","2025-12-08T06:33:01.000-04:00","1","NO"
"547592303","MXIMODANIELSALVADORGARNICA","1","3958","2025-12-08T05:41:11.000-04:00","2025-12-08T05:41:11.000-04:00","1","NO"
"2452006671","MH20250522170254","1","40300","2025-12-08T04:32:58.000-04:00","2025-12-08T04:32:58.000-04:00","1","NO"
"811269215","BETA1872528","1","51800","2025-12-08T01:17:25.000-04:00","2025-12-08T01:17:25.000-04:00","1","NO"
"208256390","BRENDASIMONETTA","1","23000","2025-12-08T00:36:47.000-04:00","2025-12-08T00:36:47.000-04:00","1","NO"
"1354428830","CENTORBIFACUNDO20230417015228","1","3900","2025-12-08T00:23:43.000-04:00","2025-12-08T00:23:43.000-04:00","1","NO"
"5509037","YPELUCA007","1","280000","2025-12-07T23:54:52.000-04:00","2025-12-07T23:54:52.000-04:00","1","NO"
"1932825309","CJ20240806160916","1","53000","2025-12-07T23:35:00.000-04:00","2025-12-07T23:35:00.000-04:00","1","NO"
"183389005","FLBE1033536","1","9900","2025-12-07T23:29:59.000-04:00","2025-12-07T23:29:59.000-04:00","1","NO"
"1177313536","NIEVABRIAN20220810203626","1","3958","2025-12-07T23:10:34.000-04:00","2025-12-07T23:10:34.000-04:00","1","NO"
"97175410","TAVO_MTSO","1","3900","2025-12-07T23:06:55.000-04:00","2025-12-07T23:06:55.000-04:00","1","NO"
"1110754936","RODRIGUEZLUCASGONZALO2002","1","280000","2025-12-07T23:00:13.000-04:00","2025-12-07T23:00:13.000-04:00","1","NO"
"357434923","MAYRAAYALENFERNANDEZ","1","40300","2025-12-07T22:47:01.000-04:00","2025-12-07T22:47:01.000-04:00","1","NO"
"421747929","PEAL1580476","1","65900","2025-12-07T22:35:28.000-04:00","2025-12-07T22:35:28.000-04:00","1","NO"
"141043412","CICA3062750","1","280000","2025-12-07T22:28:54.000-04:00","2025-12-07T22:28:54.000-04:00","1","NO"
"67560980","EXEQUIELT2011","1","7800","2025-12-07T22:10:28.000-04:00","2025-12-07T22:10:28.000-04:00","1","NO"
"246816233","BRPA8479601","1","14900","2025-12-07T21:47:32.000-04:00","2025-12-07T21:47:32.000-04:00","1","NO"
"209839412","BARITU42","1","44333","2025-12-07T21:39:19.000-04:00","2025-12-07T21:39:19.000-04:00","1","NO"
"2420985187","GN20250505200458","1","7800","2025-12-07T21:38:58.000-04:00","2025-12-07T21:38:58.000-04:00","1","NO"
"266722773","ALAL2640427","1","53000","2025-12-07T21:38:08.000-04:00","2025-12-07T21:38:08.000-04:00","1","NO"
"138416790","ZUMMOROMINA","1","19900","2025-12-07T21:34:26.000-04:00","2025-12-07T21:34:26.000-04:00","1","NO"
"92876026","MICA ORTIZ","2","131996","2025-12-07T21:28:02.000-04:00","2025-12-07T21:28:02.000-04:00","1","YES"
"183876509","LUMIDOMINGUEZ","1","23000","2025-12-07T21:18:13.000-04:00","2025-12-07T21:18:13.000-04:00","1","NO"
"709446019","BRALE88","1","350000","2025-12-07T21:09:22.000-04:00","2025-12-07T21:09:22.000-04:00","1","NO"
"803492283","REDOLFIANA20210807001932","1","23000","2025-12-07T20:56:37.000-04:00","2025-12-07T20:56:37.000-04:00","1","NO"
"273746633","CENTURINTAMI","1","49000","2025-12-07T20:50:48.000-04:00","2025-12-07T20:50:48.000-04:00","1","NO"
"1938587228","PH20240808134643","1","115000","2025-12-07T20:42:40.000-04:00","2025-12-07T20:42:40.000-04:00","1","NO"
"351282762","VADA3597930","1","115000","2025-12-07T20:41:06.000-04:00","2025-12-07T20:41:06.000-04:00","1","NO"
"353648738","CHRISTIANTESLER","1","23000","2025-12-07T20:41:05.000-04:00","2025-12-07T20:41:05.000-04:00","1","NO"
"173484664","GRISELDAPIANA","1","25900","2025-12-07T20:38:19.000-04:00","2025-12-07T20:38:19.000-04:00","1","NO"
"147154409","LEANDRONEVOLI","1","49999","2025-12-07T20:34:38.000-04:00","2025-12-07T20:34:38.000-04:00","1","NO"
"2110537475","GM20241122070435","1","40300","2025-12-07T20:32:58.000-04:00","2025-12-07T20:32:58.000-04:00","1","NO"
"600469536","ZACI3801265","1","39900","2025-12-07T20:30:03.000-04:00","2025-12-07T20:30:03.000-04:00","1","NO"
"640034962","SAJO7116357","1","130000","2025-12-07T20:28:06.000-04:00","2025-12-07T20:28:06.000-04:00","1","NO"
"2326763","EZEPRE21","1","23000","2025-12-07T20:28:25.000-04:00","2025-12-07T20:28:25.000-04:00","1","NO"
"1710314228","CIBA20240302201135","1","3900","2025-12-07T20:20:32.000-04:00","2025-12-07T20:20:32.000-04:00","1","NO"
"105365309","REYNOSOSANDRA59","1","23000","2025-12-07T20:13:56.000-04:00","2025-12-07T20:13:56.000-04:00","1","NO"
"8919424","ELRAFAPANTA","1","49000","2025-12-07T20:05:47.000-04:00","2025-12-07T20:05:47.000-04:00","1","NO"
"435335624","MAMA8316779","1","70500","2025-12-07T19:59:11.000-04:00","2025-12-07T19:59:11.000-04:00","1","NO"
"515831574","GRA_HEINZ","1","380000","2025-12-07T19:57:28.000-04:00","2025-12-07T19:57:28.000-04:00","1","NO"
"60030734","MARA_LG","1","23000","2025-12-07T19:56:49.000-04:00","2025-12-07T19:56:49.000-04:00","1","NO"
"1180034851","RUPPELCARLA20220815162637","1","49999","2025-12-07T19:51:51.000-04:00","2025-12-07T19:51:51.000-04:00","1","NO"
"298298286","FEDER119","1","3958","2025-12-07T19:51:40.000-04:00","2025-12-07T19:51:40.000-04:00","1","NO"
"143546351","JUÁREZ FERNANDO","1","218500","2025-12-07T19:50:39.000-04:00","2025-12-07T19:50:39.000-04:00","1","NO"
"57014553","NORGARIBOTTO","1","45600","2025-12-07T19:41:45.000-04:00","2025-12-07T19:41:45.000-04:00","1","NO"
"609196949","ALEJANDROGUGLIELMINO","1","61600","2025-12-07T19:39:36.000-04:00","2025-12-07T19:39:36.000-04:00","1","NO"
"1398583453","IVANMORENO20230614115904","1","280000","2025-12-07T19:39:10.000-04:00","2025-12-07T19:39:10.000-04:00","1","NO"
"825668936","GONZALEZSANDRA20210916205526","1","17448","2025-12-07T19:37:14.000-04:00","2025-12-07T19:37:14.000-04:00","1","NO"
