"item_id","title","seller_sku","price","currency","available_quantity","sold_quantity","status","category_id","condition","listing_type","permalink","date_created","last_updated"
"MLA1811018572","Map Sensor Presion Vw Gol Polo Vento Fox Up 1.6 1.8 Mpfi",,"17598","ARS","27","71","active","MLA373385","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1811018572-map-sensor-presion-vw-gol-polo-vento-fox-up-16-18-mpfi-_JM","2024-06-14T19:54:44.471Z","2025-12-03T09:40:43.984Z"
"MLA1532569932","Bobina Encendido Vw Gol Trend Fox Suran Saveiro Voyage 1.6 ",,"49500","ARS","214","122","active","MLA60957","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1532569932-bobina-encendido-vw-gol-trend-fox-suran-saveiro-voyage-16-_JM","2023-10-10T14:55:10.000Z","2025-12-04T20:23:58.942Z"
"MLA1391723040","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm",,"3900","ARS","905","13918","active","MLA373315","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1391723040-arandela-anodizada-aluminio-moto-auto-6mm-m6-x10-colores-jdm-_JM","2023-04-10T13:43:03.000Z","2025-12-08T07:51:58.728Z"
"MLA1366755415","Bujía Iridium Grado 8 Bkr8eix Ngk X 4 Unidades",,"70000","ARS","494","203","active","MLA388825","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1366755415-bujia-iridium-grado-8-bkr8eix-ngk-x-4-unidades-_JM","2023-04-20T18:09:49.000Z","2025-12-02T19:48:35.544Z"
"MLA1401237712","Bujía Iridium Grado 9 Bkr9eix Ngk ",,"23622","ARS","1630","100","active","MLA388825","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1401237712-bujia-iridium-grado-9-bkr9eix-ngk-_JM","2023-04-20T18:20:48.000Z","2025-11-12T15:06:27.327Z"
"MLA1401324410","Bujía Iridium Grado 8 Bkr8eix Ngk ",,"17500","ARS","1977","250","active","MLA388825","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1401324410-bujia-iridium-grado-8-bkr8eix-ngk-_JM","2023-04-20T18:03:22.000Z","2025-12-04T04:30:52.951Z"
"MLA1401236168","Bujía Iridium Grado 7 Bkr7eix Ngk X 4 Unidades",,"70000","ARS","256","334","active","MLA388825","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1401236168-bujia-iridium-grado-7-bkr7eix-ngk-x-4-unidades-_JM","2023-04-20T17:31:05.000Z","2025-12-03T15:00:32.883Z"
"MLA1570985660"," Bobina Audi A3 Vw Golf Bora 1.8 20v Encendido Roja Ecs",,"42900","ARS","14","24","active","MLA60957","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1570985660-bobina-audi-a3-vw-golf-bora-18-20v-encendido-roja-ecs-_JM","2023-11-21T13:04:30.425Z","2025-12-04T06:14:42.117Z"
"MLA1432575309","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm",,"3900","ARS","1914","3986","active","MLA413452","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1432575309-arandela-anodizada-aluminio-moto-auto-6mm-m6-x10-colores-jdm-_JM","2024-06-13T15:23:18.451Z","2025-12-08T04:24:01.152Z"
"MLA1430336084","Bujía Ngk Iridium Upgrade Grado 8 Rs7 A3 Golf Mk7 Vw Audi",,"37950","ARS","210","242","active","MLA388825","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1430336084-bujia-ngk-iridium-upgrade-grado-8-rs7-a3-golf-mk7-vw-audi-_JM","2023-06-08T14:35:18.000Z","2025-11-26T11:53:02.808Z"
"MLA1575488578","Carburador Keihin Pwk Cortina Plana Moto Japón 36mm - 42mm",,"79900","ARS","5","493","active","MLA22655","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1575488578-carburador-keihin-pwk-cortina-plana-moto-japon-36mm-42mm-_JM","2023-11-24T19:19:28.534Z","2025-12-02T18:00:14.984Z"
"MLA1372639819","Pedalera Vw Amarok Golf Fox Suran Gol Trend Bora Automático",,"31699","ARS","0","94","paused","MLA22327","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1372639819-pedalera-vw-amarok-golf-fox-suran-gol-trend-bora-automatico-_JM","2023-06-08T14:41:45.000Z","2025-10-31T14:25:09.845Z"
"MLA1811024996","Turbo Ford Ranger 3.2 Mk3 Tdci Núcleo Central Gtb2256vk",,"183000","ARS","70","93","active","MLA389050","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1811024996-turbo-ford-ranger-32-mk3-tdci-nucleo-central-gtb2256vk-_JM","2024-06-14T17:46:35.063Z","2025-12-07T23:05:33.756Z"
"MLA1811051690","Turbo Núcleo Fiat Palio Siena Fiorino 1.7 Td Central Tb0227",,"134000","ARS","90","67","active","MLA389050","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1811051690-turbo-nucleo-fiat-palio-siena-fiorino-17-td-central-tb0227-_JM","2024-06-14T18:04:56.359Z","2025-12-05T14:53:42.430Z"
"MLA1366776703","Bujía Iridium Grado 9 Bkr9eix Ngk X 4 Unidades",,"94490","ARS","407","50","active","MLA388825","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1366776703-bujia-iridium-grado-9-bkr9eix-ngk-x-4-unidades-_JM","2023-04-20T18:30:49.000Z","2025-11-27T17:50:45.347Z"
"MLA1366746127","Bujía Iridium Grado 7 Bkr7eix Ngk ",,"17500","ARS","1027","140","active","MLA388825","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1366746127-bujia-iridium-grado-7-bkr7eix-ngk-_JM","2023-04-20T17:25:20.000Z","2025-12-03T15:00:22.788Z"
"MLA1571016040","Kit X4 Bobina Audi A3 Vw Golf Bora 1.8 20v Encendido Ecs",,"171600","ARS","3","37","active","MLA60957","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1571016040-kit-x4-bobina-audi-a3-vw-golf-bora-18-20v-encendido-ecs-_JM","2023-11-21T15:56:18.000Z","2025-12-03T15:00:30.539Z"
"MLA1811093512","Turbo Ford Ranger 2.8 Xl Núcleo Central Gt20 721843",,"131900","ARS","179","166","active","MLA389050","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1811093512-turbo-ford-ranger-28-xl-nucleo-central-gt20-721843-_JM","2024-06-14T19:04:44.534Z","2025-12-06T19:17:26.943Z"
"MLA1811025472","Turbo Ford Ranger 3.0 162cv Núcleo Central Gt25s",,"135000","ARS","102","100","active","MLA389050","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1811025472-turbo-ford-ranger-30-162cv-nucleo-central-gt25s-_JM","2024-06-14T17:55:46.425Z","2025-12-05T14:54:25.950Z"
"MLA1811056390","Sensor Múltiple Admisión Ángulo Giro Volkswagen Vw Audi Tfsi",,"26500","ARS","33","17","active","MLA373319","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1811056390-sensor-multiple-admision-angulo-giro-volkswagen-vw-audi-tfsi-_JM","2024-06-14T19:38:54.815Z","2025-12-01T22:57:25.899Z"
"MLA1814741012","Múltiple Admisión Ford Ka Fiesta Ecosport Focus 1.6 8v Rocam",,"380000","ARS","40","87","active","MLA373319","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1814741012-multiple-admision-ford-ka-fiesta-ecosport-focus-16-8v-rocam-_JM","2024-06-18T18:55:12.653Z","2025-12-07T23:57:31.792Z"
"MLA1432891567","Turbo Ford Ecosport Fiesta C3 296 1.4 Núcleo Central Kp35",,"129500","ARS","64","25","active","MLA389050","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1432891567-turbo-ford-ecosport-fiesta-c3-296-14-nucleo-central-kp35-_JM","2024-06-14T17:11:28.063Z","2025-12-05T14:57:35.908Z"
"MLA1814955444","Múltiple Admisión Vw Tiguan Vento Audi A3 Q3 2.0t Tsi Tfsi",,"242000","ARS","5","75","active","MLA373319","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1814955444-multiple-admision-vw-tiguan-vento-audi-a3-q3-20t-tsi-tfsi-_JM","2024-06-18T18:43:21.192Z","2025-12-04T00:43:42.664Z"
"MLA1432844817","Turbo Ford Ranger Puma 2.2 Transit 2.4 Núcleo Central Td03",,"119900","ARS","26","77","active","MLA389050","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1432844817-turbo-ford-ranger-puma-22-transit-24-nucleo-central-td03-_JM","2024-06-14T14:22:22.354Z","2025-12-04T17:00:57.619Z"
"MLA1433537195","Inyector Nafta Ford Fiesta Ecosport Ka Focus 1.0 1.6 8v",,"22900","ARS","660","192","active","MLA61201","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1433537195-inyector-nafta-ford-fiesta-ecosport-ka-focus-10-16-8v-_JM","2024-06-18T15:49:42.005Z","2025-12-03T04:06:27.473Z"
"MLA1814246798","Sensor Map Chevrolet Corsa 1.4 1.6 Renault Clio Megane 2.0",,"27498","ARS","38","29","active","MLA373385","new","gold_special","https://articulo.mercadolibre.com.ar/MLA-1814246798-sensor-map-chevrolet-corsa-14-16-renault-clio-megane-20-_JM","2024-06-18T12:04:19.994Z","2025-12-03T13:23:05.099Z"
