"item_id","title","sku","orders_count","total_revenue","avg_price","current_stock"
"MLA1513381865","Lápiz 3d Con Batería Filamentos Baja Temperatura Niños Kleur","KL-3DPEN-VT-XI","432","15292703","31386,43","297"
"MLA2208414908","Funda Cubre Asiento Auto Mascota Perro Estampado + Cierre","LB-PET003-XI","408","9236053","21702,13","204"
"MLA1463837365","Scanner Escaner Automotriz Lectura Bluetooth Obd2 Obdii V2.1","OE-327-XI","354","12327191","28656,37","190"
"MLA1557073363","Set Lapices Colores 145 Piezas Grafitos Kleur Lapiz Cartuchera","KL-PRI145-XI","310","19998673","62668,77","26"
"MLA2361075082","Parasol De Auto Paraguas Parabrisas Cubre Sol Tirador Oe","OE-SS001-XI","304","6295942","12337,88","263"
"MLA1549659105","Marcadores Acrilico Doble Punta 80u Pincel + Blanco Kleur Surtido Acrylic 10 Puntas De Repuesto Valija","KL-ACRY80-XI","264","8960540","31987,75","0"
"MLA1391723040","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","JDM-FWRDM6-10-XI","249","2089860","3674,28","905"
"MLA2036487166","Estereo Stereo Doble Din 7 Táctil Mirror Waze Camara Rev Negro","LU-7018B-XI","227","16215730","69019,67","185"
"MLA2304474382","Marcadores Doble Punta Alcohol 60u Kleur Estuche + Blender Surtido 60","KL-ART60-XI","214","4895264","20774,27","625"
"MLA2213688968","Filamento Para Lapiz 3d Pcl Baja Temperatura Pack X20 Kleur Surtidos","KL-FIL-100M-XI","202","3710100","14900","59"
"MLA2334301998","Set Arte 288 Pcs Lápices Fibras Crayones Acuarelas Estuche Lu-art002","LU-ART002-XI","179","6772703","31295,54","84"
"MLA1549127637","Marcadores Doble Punta Alcohol 120u Kleur Touch + Blender Base Estuche 10 Puntas De Repuesto","KL-TOUCH120-XI","175","6768385","38054,71","243"
"MLA1549126971","Marcadores Doble Punta Alcohol 80u Kleur Touch + Blender Base Estuche 10 Puntas De Repuesto","KL-TOUCH80-XI","164","4420094","25096,15","3"
"MLA2208597302","Funda Cubre Asiento Auto Mascota Perro Negro + 2 Cinturones","LB-PET004-XI","164","6718006","39978,69","35"
"MLA2406714726","Marcadores Doble Punta Alcohol 168u Kleur Touch + Blender Base Estuche 10 Puntas De Repuesto","KL-TOUCH168-XI","162","8085000","48727,78","168"
"MLA2007623242","Bocha Palanca Cambio Chevrolet Onix Prisma Joy Sonic Spin Oe Negro","OE-SK001-XI","150","3857851","25384,83","47"
"MLA2213649534","Filamento Para Lapiz 3d Pcl Baja Temperatura Pack X10 Kleur Surtidos","KL-FIL-50M-XI","148","1940400","9900","198"
"MLA1549022781","Marcadores Doble Punta Alcohol 60u Kleur Touch + Blender Base Estuche 10 Puntas De Repuesto","KL-TOUCH60-XI","136","2904462","19099,72","18"
"MLA1531279239","Set 24 Pinceles Brocha Espátula Acrílico Acuarela Óleo Kleur Gris Oscuro","KL-BRU24-XI","130","3274870","25001,73","10"
"MLA2008446786","Stereo Bluetooth Usb 2.0 Mp3 Lector Sd 60x4 Jsd-520","LU-JSD-520-XI","127","3152800","21456,38","180"
