rank,item_id,title,sku,units_sold,orders,unique_buyers,revenue,avg_price,price_range
1,"MLA2223422548","Bicicleta Mountain Mtb R29 21 Vel Freno Disco Suspensión Hp","HPP-RYDER-S1-XL-XI",461,461,444,143558934,350000,"premium"
2,"MLA1991814548","Cubre Alfombra Termoformadas Ford Territory Oe","OE-MAT-TERRG2-KIT-XI",481,478,471,123856362,280000,"premium"
3,"MLA1893222204","Cubre Alfombra Termoformadas Volkswagen Amarok Oe","OE-MAT-AMAG1-KIT-XI",443,443,438,116396939,260400,"premium"
4,"MLA2036487166","Estereo Stereo Doble Din 7 Táctil Mirror Waze Camara Rev","LU-7018B-XI",1281,1238,1214,87400802,70500,"alto"
5,"MLA2034636172","Carburador Renault R12 1 Boca Oe","OE-CAR-REN121B-XI",691,684,676,66259339,95000,"alto"
6,"MLA1485449105","Cubre Alfombras Termoformadas Fiat Cronos","OE-MAT-CROG1-KIT-XI",234,233,233,61806798,280000,"premium"
7,"MLA2415998246","Cubre Alfombra Termoformadas Ford Territory 2023+ Oe Negro","OE-MAT-TERRG2-KIT-XI",221,221,219,56358400,280000,"premium"
8,"MLA1991775706","Cubre Alfombra Termoformadas Volkswagen Taos Oe","OE-MAT-TAOSG1-KIT-XI",213,212,205,53895520,260400,"premium"
9,"MLA2009267058","Funda Cubre Asiento Fundas Auto Universal Cuero + Volante","LU-SCV1-GB-XI",369,368,354,52523405,155000,"premium"
10,"MLA1513381865","Lápiz 3d Con Batería Filamentos Baja Temperatura Niños Kleur","KL-3DPEN-VT-XI",1564,1461,1341,49362828,32999,"medio"
11,"MLA1482761781","Carburador Pwk 28 30 32 34 Cortina Plana Competición Japón","OSK30-XI",918,888,874,46533368,55000,"alto"
12,"MLA2128201130","Cubre Alfombra Termoformadas Peugeot 208 Gen 2 2020+ Oe","OE-MAT-208G2-KIT-XI",174,174,174,45708385,280000,"premium"
13,"MLA1452397323","Tapa Valvulas Aluminio Astra Vectra Zafira 2.0 2.2 2.4 16v","OE-EVC005-XI",411,411,405,45687139,130000,"premium"
14,"MLA2072310728","Carburador Ford Falcon F100 221 40mm Varilla Oe","OE-CAR-FORD221H-XI",246,246,246,44572710,177650,"premium"
15,"MLA1991814550","Cubre Alfombra Termoformada Toyota Hilux 2005 2015 Premium","OE-OMT-HILVigo-KIT-XI",149,149,145,39790500,280000,"premium"
16,"MLA1474981121","Tapa Valvulas Volkswagen Amarok Q7 3.0 V6 Acompañante Oe","OE-EVC010-XI",56,56,54,39231615,741001,"premium"
17,"MLA1991762616","Cubre Alfombra Termoformadas Toyota Corolla 2020+ Oe","OE-MAT-CORG12-KIT-XI",153,153,152,39200448,280000,"premium"
18,"MLA2128472386","Cubre Alfombra Termoformadas Toyota Corolla Cross Oe","OE-MAT-CROSSG1-KIT-XI",149,149,143,38384800,260400,"premium"
19,"MLA2128434892","Cubre Alfombra Termoformadas Peugeot 2008 Gen 2 2024+ Oe","OE-MAT-2008G2-KIT-XI",146,146,145,38270400,260400,"premium"
20,"MLA2030629730","Carburador Cortina Plana Pwk 28mm A 34mm Hp Factory Racing","HP-PWK28R-FWRDM6-6-XI",502,498,491,37974131,73656,"alto"
21,"MLA1432633411","Carburador Keihin Pwk Cortina Plana Moto Japón 24mm - 34mm","PWK34-XI",542,525,518,36759555,66495,"alto"
22,"MLA2008446786","Stereo Bluetooth Usb 2.0 Mp3 Lector Sd 60x4 Jsd-520","LU-JSD-520-XI",1717,1320,1217,36409571,22400,"medio"
23,"MLA1991840790","Cubre Alfombra Termoformada Toyota Hilux 2005 2015 Oe","OE-MAT-HILVigo-KIT-XI",137,137,135,36248886,280000,"premium"
